,altitude,longitude,Bedrock,Rock Glacier,Steeper bare,Flat bare,Vegetated
mean,High (4200 m),East (dry),-4.262498557567596,-6.453119248151779,-5.497412204742432,-3.9095721021294594,-4.960244432091713
mean,High (4200 m),West (wet),-0.1640981137752533,-0.03144927474204451,-0.11169623723253608,-0.15942066721618176,-0.16959668416529894
mean,Low (3400 m),East (dry),,0.777897288557142,0.7195699908770621,0.914425634779036,0.778854395262897
mean,Low (3400 m),West (wet),2.2086425721645355,0.767251375131309,0.4363709706813097,1.6214963048696518,0.7057938787620515
mean,Mid (3800 m),East (dry),,,,,
mean,Mid (3800 m),West (wet),-2.2278645038604736,-1.0841872160537884,-3.687882661819458,-2.565906892220179,-3.308015505472819
std,High (4200 m),East (dry),1.659321837634146,1.2520558319796884,1.641390426746999,1.7642650604652135,1.780552890647204
std,High (4200 m),West (wet),0.07080497341980235,0.06370858151057239,0.04069142635347605,0.03278452685027315,0.04484521964226462
std,Low (3400 m),East (dry),,0.6035649763886339,0.6856971270016095,0.7421556561494415,0.70233811941118
std,Low (3400 m),West (wet),0.7313207246483326,0.329743982503311,0.680547449425235,0.6836443401485134,0.7594402120171588
std,Mid (3800 m),East (dry),,,,,
std,Mid (3800 m),West (wet),1.3526717874801417,1.3515367388529846,0.7423503577358131,1.0339763407949776,0.8738559617255601
count,High (4200 m),East (dry),4.0,16.0,16.0,16.0,16.0
count,High (4200 m),West (wet),4.0,16.0,16.0,16.0,16.0
count,Low (3400 m),East (dry),,16.0,16.0,16.0,16.0
count,Low (3400 m),West (wet),4.0,16.0,16.0,16.0,16.0
count,Mid (3800 m),East (dry),,,,,
count,Mid (3800 m),West (wet),3.0,13.0,13.0,12.0,12.0
